Input,Intent,Response
Hello,greeting,Hi there! How can I assist you today?
Hi,greeting,Hello! What can I do for you?
Hey,greeting,Hey there! How can I help you?
Good morning,greeting,Good morning! How can I assist you today?
Good evening,greeting,Good evening! What can I help you with?
Goodbye,farewell,Goodbye! Have a great day!
See you later,farewell,See you later! Take care!
Farewell,farewell,Farewell! Until next time!
Bye,farewell,Bye! Have a wonderful day!
Take care,farewell,Take care! Have a great day!
What’s your name?,personal_info,I’m your friendly chatbot. How can I assist you today?
Can you tell me your name?,personal_info,I’m here to help you. How can I assist you?
What do you do?,personal_info,I provide assistance with your queries. How can I help you today?
How can I contact support?,support,You can contact support by emailing support@example.com or calling 1-800-123-4567.
What is your purpose?,personal_info,My purpose is to assist you with your questions and provide helpful responses.
Can you help me with my account?,account_support,"Yes, I can help with account-related issues. What seems to be the problem?"
How do I reset my password?,account_support,"To reset your password, go to the login page and click ""Forgot Password."""
How do I change my email address?,account_support,You can change your email address in the account settings section of your profile.
What’s the weather like today?,weather_query,"I’m not sure, but you can check the latest updates online for accurate information."
Will it rain today?,weather_query,Please check a weather website or app for the latest rainfall predictions.
What’s the temperature?,weather_query,"For current temperature updates, check a weather service or app."
What’s the forecast for tomorrow?,weather_query,Please consult a weather forecast service for detailed information on tomorrow’s weather.
Can you recommend a restaurant?,restaurant_recommendation,Sure! How about trying the new Italian place downtown?
Where can I find a good place to eat?,restaurant_recommendation,You can check out the top-rated restaurants in your area on Yelp or Google Maps.
I need a restaurant recommendation.,restaurant_recommendation,How about the new Thai place on Main Street? It has great reviews!
What’s a good place for dinner tonight?,restaurant_recommendation,Consider trying the Bistro Café; it’s popular and has great reviews.
Tell me a joke,joke,Why don’t skeletons fight each other? They don’t have the guts!
Can you make me laugh?,joke,Why don’t scientists trust atoms? Because they make up everything!
Tell me something funny,joke,Why was the math book sad? It had too many problems!
I need a joke,joke,Why don’t programmers like nature? It has too many bugs!
How do I reset my password?,account_support,"To reset your password, click the ""Forgot Password"" link on the login page and follow the instructions."
Where can I find help with my account?,account_support,You can find help by visiting our support page or contacting our support team directly.
How do I contact customer service?,support,You can reach customer service by calling 1-800-123-4567 or emailing support@example.com.
